date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:21	62629/62629	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Mar%202020%2008:43:21%20GMT	http://embeddedandvlsidesignconference.org/wp-json/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-json/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:24	2303/2303	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Mar%202020%2008:43:22%20GMT	http://embeddedandvlsidesignconference.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fembeddedandvlsidesignconference.org%2F	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-json/oembed/1.0/embed88f5.json	(from http://embeddedandvlsidesignconference.org/)
14:13:24	2402/2402	---MCZ	200	added ('OK')	text/xml	date:Mon,%2023%20Mar%202020%2008:43:25%20GMT	http://embeddedandvlsidesignconference.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fembeddedandvlsidesignconference.org%2F&format=xml	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-json/oembed/1.0/embedad98	(from http://embeddedandvlsidesignconference.org/)
14:13:24	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%225b5d75d8-146%22	http://embeddedandvlsidesignconference.org/wp-content/plugins/masterslider/public/assets/css/common/grabbing.cur	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-content/plugins/masterslider/public/assets/css/common/grabbing.cur	(from http://embeddedandvlsidesignconference.org/)
14:13:27	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%225b5d75d8-146%22	http://embeddedandvlsidesignconference.org/wp-content/plugins/masterslider/public/assets/css/common/grab.cur	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-content/plugins/masterslider/public/assets/css/common/grab.cur	(from http://embeddedandvlsidesignconference.org/)
14:13:30	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	http://embeddedandvlsidesignconference.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://embeddedandvlsidesignconference.org/)
14:13:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2008:43:31%20GMT	https://embeddedandvlsidesignconference.org/wp-content/uploads/2019/01/87786ac645ba2a2169a69f4d4553c024-700.jpg	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-content/uploads/2019/01/87786ac645ba2a2169a69f4d4553c024-700.1e.delayed	(from http://embeddedandvlsidesignconference.org/)
14:13:33	81734/81734	---M--	200	added ('OK')	image/jpeg	etag:%225c2b2eca-13f46%22	http://embeddedandvlsidesignconference.org/wp-content/uploads/2019/01/87786ac645ba2a2169a69f4d4553c024-700.jpg	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-content/uploads/2019/01/87786ac645ba2a2169a69f4d4553c024-700.jpg	(from http://embeddedandvlsidesignconference.org/)
14:13:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2008:43:33%20GMT	https://embeddedandvlsidesignconference.org/wp-content/uploads/2019/12/leela_25_opt.jpg?id=3237	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-content/uploads/2019/12/leela_25_opt.2043b4.delayed	(from http://embeddedandvlsidesignconference.org/)
14:13:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2008:43:35%20GMT	https://embeddedandvlsidesignconference.org/wp-content/uploads/2019/12/vlsid_new_logo_2020_185_1.jpg	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/wp-content/uploads/2019/12/vlsid_new_logo_2020_185_1.jpg	(from http://embeddedandvlsidesignconference.org/)
